time: seconds_since_epoche, state (zero_velocity/pass_through/capping), command.linear.x, command.linear.y, command.linear.z, command.angular.x, command.angular.y, command.angular.z, msg.linear.x, msg.linear.y, msg.linear.z, msg.angular.x, msg.angular.y, msg.angular.z

1643999515.96,zero_velocity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643999516.16,zero_velocity,0.0,0.0,0.0,0.0,0.0,-0.995352605358,0.0,0.0,0.0,0.0,0.0,-0.995352605358
1643999516.19,zero_velocity,0.0,0.0,0.0,0.0,0.0,-1.0048338552,0.0,0.0,0.0,0.0,0.0,-1.0048338552
1643999516.26,zero_velocity,0.0,0.0,0.0,0.0,0.0,-1.25528460741,0.0,0.0,0.0,0.0,0.0,-1.25528460741
1643999516.35,pass_through,0.503895340255,0.0,0.0,0.0,0.0,-1.57,0.503895340255,0.0,0.0,0.0,0.0,-1.57
1643999516.44,pass_through,0.500302766392,0.0,0.0,0.0,0.0,-1.52117684063,0.500302766392,0.0,0.0,0.0,0.0,-1.52117684063
1643999516.58,pass_through,0.558182489127,0.0,0.0,0.0,0.0,-1.53254618193,0.558182489127,0.0,0.0,0.0,0.0,-1.53254618193
1643999516.59,pass_through,0.988706082106,0.0,0.0,0.0,0.0,-1.53951889013,0.988706082106,0.0,0.0,0.0,0.0,-1.53951889013
1643999516.66,pass_through,0.992785394192,0.0,0.0,0.0,0.0,-1.53668782008,0.992785394192,0.0,0.0,0.0,0.0,-1.53668782008
1643999516.75,pass_through,1.44858819246,0.0,0.0,0.0,0.0,-1.38295221329,1.44858819246,0.0,0.0,0.0,0.0,-1.38295221329
1643999516.82,pass_through,1.485242486,0.0,0.0,0.0,0.0,-1.39065247774,1.485242486,0.0,0.0,0.0,0.0,-1.39065247774
1643999516.91,pass_through,1.514108181,0.0,0.0,0.0,0.0,-1.34537926316,1.514108181,0.0,0.0,0.0,0.0,-1.34537926316
1643999517.08,pass_through,1.95230948925,0.0,0.0,0.0,0.0,-1.57,1.95230948925,0.0,0.0,0.0,0.0,-1.57
1643999517.08,pass_through,2.0,0.0,0.0,0.0,0.0,-1.57,2.0,0.0,0.0,0.0,0.0,-1.57
1643999517.16,pass_through,2.0,0.0,0.0,0.0,0.0,-1.57,2.0,0.0,0.0,0.0,0.0,-1.57
1643999517.22,pass_through,2.0,0.0,0.0,0.0,0.0,-1.53235537178,2.0,0.0,0.0,0.0,0.0,-1.53235537178
1643999517.3,pass_through,2.0,0.0,0.0,0.0,0.0,-1.50007396949,2.0,0.0,0.0,0.0,0.0,-1.50007396949
1643999517.37,pass_through,2.0,0.0,0.0,0.0,0.0,-1.41927680743,2.0,0.0,0.0,0.0,0.0,-1.41927680743
1643999517.45,pass_through,2.0,0.0,0.0,0.0,0.0,-1.30129118367,2.0,0.0,0.0,0.0,0.0,-1.30129118367
1643999517.54,pass_through,2.0,0.0,0.0,0.0,0.0,-1.2236789613,2.0,0.0,0.0,0.0,0.0,-1.2236789613
1643999517.62,pass_through,2.0,0.0,0.0,0.0,0.0,-1.21804168726,2.0,0.0,0.0,0.0,0.0,-1.21804168726
1643999517.69,pass_through,2.0,0.0,0.0,0.0,0.0,-1.20804794312,2.0,0.0,0.0,0.0,0.0,-1.20804794312
1643999517.77,pass_through,2.0,0.0,0.0,0.0,0.0,-1.02104818695,2.0,0.0,0.0,0.0,0.0,-1.02104818695
1643999517.85,pass_through,2.0,0.0,0.0,0.0,0.0,-0.93661235734,2.0,0.0,0.0,0.0,0.0,-0.93661235734
1643999517.93,pass_through,2.0,0.0,0.0,0.0,0.0,-1.0135976957,2.0,0.0,0.0,0.0,0.0,-1.0135976957
1643999518.08,pass_through,2.0,0.0,0.0,0.0,0.0,-0.915770411742,2.0,0.0,0.0,0.0,0.0,-0.915770411742
1643999518.12,pass_through,2.0,0.0,0.0,0.0,0.0,-0.918320132557,2.0,0.0,0.0,0.0,0.0,-0.918320132557
1643999518.19,pass_through,2.0,0.0,0.0,0.0,0.0,-0.780382288381,2.0,0.0,0.0,0.0,0.0,-0.780382288381
1643999518.27,pass_through,2.0,0.0,0.0,0.0,0.0,-0.721260258524,2.0,0.0,0.0,0.0,0.0,-0.721260258524
1643999518.37,pass_through,2.0,0.0,0.0,0.0,0.0,-0.722625342921,2.0,0.0,0.0,0.0,0.0,-0.722625342921
1643999518.56,pass_through,2.0,0.0,0.0,0.0,0.0,-0.744685505817,2.0,0.0,0.0,0.0,0.0,-0.744685505817
1643999518.57,pass_through,2.0,0.0,0.0,0.0,0.0,-0.707614616595,2.0,0.0,0.0,0.0,0.0,-0.707614616595
1643999518.62,pass_through,2.0,0.0,0.0,0.0,0.0,-0.719153775039,2.0,0.0,0.0,0.0,0.0,-0.719153775039
1643999518.66,zero_velocity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643999526.27,zero_velocity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643999533.95,zero_velocity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643999534.03,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999534.16,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999534.21,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999534.28,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999534.36,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999534.43,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999534.51,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999534.59,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999534.74,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999534.75,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999534.82,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999534.9,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999534.97,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999535.06,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999535.14,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999535.21,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999535.33,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999535.37,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999535.45,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999535.53,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999535.61,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999535.68,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999535.77,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999535.92,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999535.92,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999535.97,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999536.05,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999536.13,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999536.22,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999536.32,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999536.42,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999536.48,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999536.57,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999536.64,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999536.72,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999536.79,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999536.87,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999537.0,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999537.07,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999537.13,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999537.21,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999537.29,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999537.37,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999537.46,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999537.52,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999537.58,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999537.66,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999537.74,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999537.8,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999537.88,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999537.96,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999538.1,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999538.17,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999538.21,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999538.28,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999538.34,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999538.41,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999538.48,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999538.54,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999538.63,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999538.74,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999538.79,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999538.84,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999538.92,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999538.99,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999539.09,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999539.15,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999539.23,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999539.32,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999539.5,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999539.5,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999539.55,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999539.62,zero_velocity,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,1.57
1643999547.35,zero_velocity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643999554.51,zero_velocity,0.0,0.0,0.0,0.0,0.0,-0.996674355352,0.0,0.0,0.0,0.0,0.0,-0.996674355352
1643999554.59,zero_velocity,0.0,0.0,0.0,0.0,0.0,-1.04171927646,0.0,0.0,0.0,0.0,0.0,-1.04171927646
1643999554.74,zero_velocity,0.0,0.0,0.0,0.0,0.0,-1.38848166416,0.0,0.0,0.0,0.0,0.0,-1.38848166416
1643999554.74,zero_velocity,0.0,0.0,0.0,0.0,0.0,-1.50744162785,0.0,0.0,0.0,0.0,0.0,-1.50744162785
1643999554.8,pass_through,0.1,0.0,0.0,0.0,0.0,-1.57,0.1,0.0,0.0,0.0,0.0,-1.57
1643999554.87,pass_through,0.1,0.0,0.0,0.0,0.0,-1.57,0.1,0.0,0.0,0.0,0.0,-1.57
1643999554.97,pass_through,0.1,0.0,0.0,0.0,0.0,-1.57,0.1,0.0,0.0,0.0,0.0,-1.57
1643999555.04,pass_through,0.197916497588,0.0,0.0,0.0,0.0,-1.57,0.197916497588,0.0,0.0,0.0,0.0,-1.57
1643999555.12,pass_through,0.500982142687,0.0,0.0,0.0,0.0,-1.57,0.500982142687,0.0,0.0,0.0,0.0,-1.57
1643999555.25,pass_through,0.662057697773,0.0,0.0,0.0,0.0,-1.57,0.662057697773,0.0,0.0,0.0,0.0,-1.57
1643999555.26,capping,0.686303059266,0.686303059266,0.686303059266,0.0,0.0,-1.14597678502,0.940242260695,0.0,0.0,0.0,0.0,-1.57
1643999555.34,pass_through,0.97354927659,0.0,0.0,0.0,0.0,-1.57,0.97354927659,0.0,0.0,0.0,0.0,-1.57
1643999555.42,pass_through,0.923808562756,0.0,0.0,0.0,0.0,-1.57,0.923808562756,0.0,0.0,0.0,0.0,-1.57
1643999555.49,pass_through,0.932394957542,0.0,0.0,0.0,0.0,-1.54501089347,0.932394957542,0.0,0.0,0.0,0.0,-1.54501089347
1643999555.57,pass_through,0.998051619023,0.0,0.0,0.0,0.0,-1.57,0.998051619023,0.0,0.0,0.0,0.0,-1.57
1643999555.71,pass_through,1.01336852908,0.0,0.0,0.0,0.0,-1.57,1.01336852908,0.0,0.0,0.0,0.0,-1.57
1643999555.74,pass_through,1.04096857141,0.0,0.0,0.0,0.0,-1.57,1.04096857141,0.0,0.0,0.0,0.0,-1.57
1643999555.82,pass_through,1.05505472805,0.0,0.0,0.0,0.0,-1.57,1.05505472805,0.0,0.0,0.0,0.0,-1.57
1643999555.9,pass_through,1.25651377048,0.0,0.0,0.0,0.0,-1.57,1.25651377048,0.0,0.0,0.0,0.0,-1.57
1643999555.96,pass_through,1.44128825684,0.0,0.0,0.0,0.0,-1.57,1.44128825684,0.0,0.0,0.0,0.0,-1.57
1643999556.05,pass_through,1.45069750899,0.0,0.0,0.0,0.0,-1.57,1.45069750899,0.0,0.0,0.0,0.0,-1.57
1643999556.15,pass_through,1.35312905721,0.0,0.0,0.0,0.0,-1.57,1.35312905721,0.0,0.0,0.0,0.0,-1.57
1643999556.2,pass_through,1.47351476583,0.0,0.0,0.0,0.0,-1.54973582268,1.47351476583,0.0,0.0,0.0,0.0,-1.54973582268
1643999556.27,pass_through,1.47714307135,0.0,0.0,0.0,0.0,-1.5216383402,1.47714307135,0.0,0.0,0.0,0.0,-1.5216383402
1643999556.36,pass_through,1.47914880751,0.0,0.0,0.0,0.0,-1.46821909453,1.47914880751,0.0,0.0,0.0,0.0,-1.46821909453
1643999556.44,pass_through,1.47854606079,0.0,0.0,0.0,0.0,-1.43516511641,1.47854606079,0.0,0.0,0.0,0.0,-1.43516511641
1643999556.53,pass_through,1.47643369466,0.0,0.0,0.0,0.0,-1.40295624984,1.47643369466,0.0,0.0,0.0,0.0,-1.40295624984
1643999556.62,pass_through,1.47024307552,0.0,0.0,0.0,0.0,-1.33130886228,1.47024307552,0.0,0.0,0.0,0.0,-1.33130886228
1643999556.72,pass_through,1.46318406786,0.0,0.0,0.0,0.0,-1.26605785897,1.46318406786,0.0,0.0,0.0,0.0,-1.26605785897
1643999556.81,pass_through,1.45078698125,0.0,0.0,0.0,0.0,-1.21681108977,1.45078698125,0.0,0.0,0.0,0.0,-1.21681108977
1643999556.89,pass_through,1.44229816032,0.0,0.0,0.0,0.0,-1.16535959143,1.44229816032,0.0,0.0,0.0,0.0,-1.16535959143
1643999556.95,pass_through,1.4250806386,0.0,0.0,0.0,0.0,-1.08122829061,1.4250806386,0.0,0.0,0.0,0.0,-1.08122829061
1643999557.02,pass_through,1.41214460929,0.0,0.0,0.0,0.0,-1.08527505147,1.41214460929,0.0,0.0,0.0,0.0,-1.08527505147
1643999557.22,pass_through,1.38886099238,0.0,0.0,0.0,0.0,-1.04770698146,1.38886099238,0.0,0.0,0.0,0.0,-1.04770698146
1643999557.22,capping,1.38585338181,1.38585338181,1.38585338181,0.0,0.0,-1.00223638907,1.36793085811,0.0,0.0,0.0,0.0,-0.989274985163
1643999557.24,pass_through,1.35136882368,0.0,0.0,0.0,0.0,-0.915870352293,1.35136882368,0.0,0.0,0.0,0.0,-0.915870352293
1643999557.32,pass_through,1.33398533098,0.0,0.0,0.0,0.0,-0.884559317137,1.33398533098,0.0,0.0,0.0,0.0,-0.884559317137
1643999557.4,pass_through,1.30741800773,0.0,0.0,0.0,0.0,-0.876793115014,1.30741800773,0.0,0.0,0.0,0.0,-0.876793115014
1643999557.46,pass_through,1.28937118853,0.0,0.0,0.0,0.0,-0.874946268985,1.28937118853,0.0,0.0,0.0,0.0,-0.874946268985
1643999557.57,pass_through,1.26189376109,0.0,0.0,0.0,0.0,-0.738952283357,1.26189376109,0.0,0.0,0.0,0.0,-0.738952283357
1643999557.65,pass_through,1.23315335346,0.0,0.0,0.0,0.0,-0.724918603395,1.23315335346,0.0,0.0,0.0,0.0,-0.724918603395
1643999557.83,pass_through,1.21080931476,0.0,0.0,0.0,0.0,-0.684512586845,1.21080931476,0.0,0.0,0.0,0.0,-0.684512586845
1643999557.83,capping,1.20667954083,1.20667954083,1.20667954083,0.0,0.0,-0.697093636275,1.1941518273,0.0,0.0,0.0,0.0,-0.689856429476
1643999557.91,pass_through,1.16450957038,0.0,0.0,0.0,0.0,-0.626424868483,1.16450957038,0.0,0.0,0.0,0.0,-0.626424868483
1643999557.99,pass_through,1.14208965602,0.0,0.0,0.0,0.0,-0.600447736288,1.14208965602,0.0,0.0,0.0,0.0,-0.600447736288
1643999558.05,pass_through,1.11315344283,0.0,0.0,0.0,0.0,-0.645589421297,1.11315344283,0.0,0.0,0.0,0.0,-0.645589421297
1643999558.13,pass_through,1.08765319636,0.0,0.0,0.0,0.0,-0.543332203313,1.08765319636,0.0,0.0,0.0,0.0,-0.543332203313
1643999558.21,pass_through,1.06889031,0.0,0.0,0.0,0.0,-0.569350095046,1.06889031,0.0,0.0,0.0,0.0,-0.569350095046
1643999558.28,pass_through,1.05015275306,0.0,0.0,0.0,0.0,-0.572908935045,1.05015275306,0.0,0.0,0.0,0.0,-0.572908935045
1643999558.45,pass_through,1.02235082056,0.0,0.0,0.0,0.0,-0.506925560926,1.02235082056,0.0,0.0,0.0,0.0,-0.506925560926
1643999558.45,capping,1.00934932791,1.00934932791,1.00934932791,0.0,0.0,-0.47901758095,1.00377884717,0.0,0.0,0.0,0.0,-0.476373939012
1643999558.52,pass_through,0.973194414936,0.0,0.0,0.0,0.0,-0.425334475542,0.973194414936,0.0,0.0,0.0,0.0,-0.425334475542
1643999558.6,pass_through,0.957617690969,0.0,0.0,0.0,0.0,-0.43026621668,0.957617690969,0.0,0.0,0.0,0.0,-0.43026621668
1643999558.67,pass_through,0.928455998088,0.0,0.0,0.0,0.0,-0.386396461412,0.928455998088,0.0,0.0,0.0,0.0,-0.386396461412
1643999558.73,pass_through,0.910943674181,0.0,0.0,0.0,0.0,-0.407159322187,0.910943674181,0.0,0.0,0.0,0.0,-0.407159322187
1643999558.8,pass_through,0.885302486612,0.0,0.0,0.0,0.0,-0.391247802659,0.885302486612,0.0,0.0,0.0,0.0,-0.391247802659
1643999558.88,pass_through,0.870954963309,0.0,0.0,0.0,0.0,-0.357648604795,0.870954963309,0.0,0.0,0.0,0.0,-0.357648604795
1643999559.09,pass_through,0.84388240018,0.0,0.0,0.0,0.0,-0.317057468389,0.84388240018,0.0,0.0,0.0,0.0,-0.317057468389
1643999559.09,pass_through,0.827648810912,0.0,0.0,0.0,0.0,-0.360439962462,0.827648810912,0.0,0.0,0.0,0.0,-0.360439962462
1643999559.13,pass_through,0.803205653708,0.0,0.0,0.0,0.0,-0.335550838395,0.803205653708,0.0,0.0,0.0,0.0,-0.335550838395
1643999559.2,pass_through,0.787546523934,0.0,0.0,0.0,0.0,-0.332172059699,0.787546523934,0.0,0.0,0.0,0.0,-0.332172059699
1643999559.26,pass_through,0.76680705272,0.0,0.0,0.0,0.0,-0.302999788209,0.76680705272,0.0,0.0,0.0,0.0,-0.302999788209
1643999559.35,pass_through,0.749808371122,0.0,0.0,0.0,0.0,-0.277206056996,0.749808371122,0.0,0.0,0.0,0.0,-0.277206056996
1643999559.43,pass_through,0.730136689911,0.0,0.0,0.0,0.0,-0.267650091334,0.730136689911,0.0,0.0,0.0,0.0,-0.267650091334
1643999559.63,pass_through,0.71576431973,0.0,0.0,0.0,0.0,-0.230537497684,0.71576431973,0.0,0.0,0.0,0.0,-0.230537497684
1643999559.63,capping,0.706796738803,0.706796738803,0.706796738803,0.0,0.0,-0.307365958073,0.694854005737,0.0,0.0,0.0,0.0,-0.302172400449
